Season,Opponent,Home,Win,MOV,Streak,Rk,Age,W/L,ExW/L,AvMOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Record
2024-2025,New York Knicks,0,1,23,0,7,27.5,0.641025641,0.628205128,4.42,-0.7,3.72,118.7,114.2,4.5,96.9,0.233,0.38,0.591,0.558,11.9,25.9,0.187,0.547,13,74.4,0.174,0.636363636
2024-2025,Washington Wizards,1,1,20,1,30,23.6,0.217948718,0.179487179,-12.38,0.4,-11.99,107,119.3,-12.3,100.9,0.23,0.436,0.547,0.513,13.6,22.8,0.18,0.55,11.5,71.9,0.201,0.666666667
2024-2025,Detroit Pistons,1,1,6,2,12,25.8,0.551282051,0.564102564,2.18,-0.28,1.9,114.7,112.5,2.2,99.9,0.25,0.392,0.579,0.545,13.1,26.2,0.195,0.536,13.3,76.2,0.215,0.777777778
2024-2025,Milwaukee Bucks,0,1,11,3,13,29.4,0.564102564,0.564102564,2.03,-0.38,1.65,115.4,113.4,2,99.3,0.266,0.422,0.596,0.566,12.2,19.3,0.2,0.532,11.4,76.3,0.178,1
2024-2025,Indiana Pacers,1,0,-3,4,11,25.8,0.602564103,0.564102564,2.32,-0.64,1.68,116.9,114.6,2.3,99.8,0.238,0.402,0.598,0.566,11.8,21,0.189,0.547,13.1,74.5,0.193,0.444444444
2024-2025,Charlotte Hornets,1,1,15,-1,27,25.1,0.243589744,0.256410256,-8.33,-0.24,-8.57,107.8,116.3,-8.5,97.6,0.223,0.429,0.539,0.504,13.6,26.8,0.176,0.547,12,74.6,0.193,0.777777778
2024-2025,Charlotte Hornets,1,1,10,1,27,25.1,0.243589744,0.256410256,-8.33,-0.24,-8.57,107.8,116.3,-8.5,97.6,0.223,0.429,0.539,0.504,13.6,26.8,0.176,0.547,12,74.6,0.193,0.777777778
2024-2025,Atlanta Hawks,1,1,30,2,19,24.9,0.474358974,0.448717949,-1.74,-0.1,-1.84,114.2,115.9,-1.7,102.7,0.252,0.408,0.577,0.543,13.2,26.2,0.196,0.562,13.8,76.1,0.204,0.375
2024-2025,Golden State Warriors,0,0,-6,3,10,28.6,0.58974359,0.58974359,2.87,0.34,3.22,114.8,111.9,2.9,98.8,0.24,0.468,0.567,0.536,12.3,27.4,0.183,0.542,13.9,75.7,0.19,0.6
2024-2025,Brooklyn Nets,0,1,4,-1,26,24.8,0.320512821,0.294871795,-6.79,0.17,-6.62,108.5,115.6,-7.1,96.3,0.239,0.456,0.551,0.515,13.7,24.7,0.189,0.555,13.7,74.8,0.216,0.666666667
2024-2025,Milwaukee Bucks,1,1,6,1,13,29.4,0.564102564,0.564102564,2.03,-0.38,1.65,115.4,113.4,2,99.3,0.266,0.422,0.596,0.566,12.2,19.3,0.2,0.532,11.4,76.3,0.178,0.333333333
2024-2025,Atlanta Hawks,0,0,-1,2,19,24.9,0.474358974,0.448717949,-1.74,-0.1,-1.84,114.2,115.9,-1.7,102.7,0.252,0.408,0.577,0.543,13.2,26.2,0.196,0.562,13.8,76.1,0.204,0.666666667
2024-2025,Brooklyn Nets,1,1,25,-1,26,24.8,0.320512821,0.294871795,-6.79,0.17,-6.62,108.5,115.6,-7.1,96.3,0.239,0.456,0.551,0.515,13.7,24.7,0.189,0.555,13.7,74.8,0.216,0.8
2024-2025,Toronto Raptors,0,1,3,1,24,24.5,0.367088608,0.367088608,-4.47,0.04,-4.43,110.4,114.8,-4.4,99.7,0.235,0.371,0.553,0.522,13.4,27.4,0.176,0.54,13.1,73.8,0.223,0.9
2024-2025,Cleveland Cavaliers,0,1,3,2,2,26.6,0.794871795,0.769230769,9.79,-0.83,8.97,122.2,112.4,9.8,99.8,0.243,0.457,0.61,0.58,11.6,25.7,0.19,0.529,12.7,74.7,0.182,0.75
2024-2025,Washington Wizards,1,1,12,3,30,23.6,0.217948718,0.179487179,-12.38,0.4,-11.99,107,119.3,-12.3,100.9,0.23,0.436,0.547,0.513,13.6,22.8,0.18,0.55,11.5,71.9,0.201,0.666666667
2024-2025,Minnesota Timberwolves,0,1,2,4,5,27.2,0.58974359,0.641025641,4.67,0.28,4.95,116.2,111.5,4.7,97.3,0.25,0.455,0.587,0.553,13,25.8,0.197,0.532,13.2,75,0.179,1
